E280 1160 6000 0207 1144 D802;1614877524251990
E280 1160 6000 0207 1144 9CB2;1614877524253822
E280 1160 6000 0207 1144 9CE2;1614877524269524
E280 1160 6000 0207 1144 9CC2;1614877524320043
5050 1FB3 A6A6 5E8B A6A6 0000;1614877524323203
E280 1160 6000 0207 1144 9CF2;1614877524328262
E280 1160 6000 0207 1144 9CD2;1614877524353733
E280 1160 6000 0207 1144 D822;1614877524364447
E280 1160 6000 0207 1144 9CA2;1614877524387703
E280 1160 6000 0207 1144 9CB2;1614877524453244
E280 1160 6000 0207 1144 D802;1614877524454327
ABBA 1234 5700 0000 0000 0000;1614877524481421
E280 1160 6000 0207 1144 9CE2;1614877524490479
E280 1160 6000 0207 1144 9CD2;1614877524497323
E280 1160 6000 0207 1144 9CC2;1614877524506077
E280 1160 6000 0207 1144 9CF2;1614877524509383
5050 1FB3 A6A6 5E8B A6A6 0000;1614877524515667
E280 1160 6000 0207 1144 D822;1614877524531430
ABBA 1234 5700 0000 0000 0002;1614877524543846
E280 1160 6000 0207 1144 9CB2;1614877524636651
E280 1160 6000 0207 1144 9CE2;1614877524638858
E280 1160 6000 0207 1144 D802;1614877524642695
E280 1160 6000 0207 1144 9CA2;1614877524660849
ABBA 1234 5700 0000 0000 0000;1614877524664276
E280 1160 6000 0207 1144 9CC2;1614877524708389
E280 1160 6000 0207 1144 D822;1614877524714023
E280 1160 6000 0207 1144 9CF2;1614877524717170
5050 1FB3 A6A6 5E8B A6A6 0000;1614877524732534
E280 1160 6000 0207 1144 9CD2;1614877524738273
ABBA 1234 5700 0000 0000 0002;1614877524752366
E280 1160 6000 0207 1144 D802;1614877524823257
E280 1160 6000 0207 1144 9CB2;1614877524824352
E280 1160 6000 0207 1144 9CE2;1614877524827714
ABBA 1234 5700 0000 0000 0000;1614877524832666
E280 1160 6000 0207 1144 9CA2;1614877524860574
E280 1160 6000 0207 1144 9CC2;1614877524864996
E280 1160 6000 0207 1144 D822;1614877524871379
E280 1160 6000 0207 1144 9CF2;1614877524877091
