E280 1160 6000 0207 1144 9CB2;1614875581307838
E280 1160 6000 0207 1144 9CC2;1614875581332914
E280 1160 6000 0207 1144 9CE2;1614875581337903
5050 1FB3 A6A6 5E8B A6A6 0000;1614875581346367
E280 1160 6000 0207 1144 D822;1614875581372888
ABBA 1234 5700 0000 0000 0002;1614875581382706
E280 1160 6000 0207 1144 9CF2;1614875581388597
E280 1160 6000 0207 1144 9CD2;1614875581394962
E280 1160 6000 0207 1144 9CB2;1614875581444937
E280 1160 6000 0207 1144 9CE2;1614875581447752
E280 1160 6000 0207 1144 D802;1614875581449531
E280 1160 6000 0207 1144 9CC2;1614875581483771
5050 1FB3 A6A6 5E8B A6A6 0000;1614875581497807
E280 1160 6000 0207 1144 9CF2;1614875581501186
E280 1160 6000 0207 1144 9CD2;1614875581505653
E280 1160 6000 0207 1144 D822;1614875581525245
ABBA 1234 5700 0000 0000 0002;1614875581539003
E280 1160 6000 0207 1144 9CB2;1614875581623494
E280 1160 6000 0207 1144 9CE2;1614875581625670
E280 1160 6000 0207 1144 D802;1614875581627924
E280 1160 6000 0207 1144 9CC2;1614875581656439
5050 1FB3 A6A6 5E8B A6A6 0000;1614875581664375
E280 1160 6000 0207 1144 9CD2;1614875581676241
E280 1160 6000 0207 1144 D822;1614875581679274
ABBA 1234 5700 0000 0000 0002;1614875581686081
E280 1160 6000 0207 1144 9CF2;1614875581702408
E280 1160 6000 0207 1144 9CB2;1614875581779770
E280 1160 6000 0207 1144 D802;1614875581780870
E280 1160 6000 0207 1144 9CE2;1614875581794748
E280 1160 6000 0207 1144 9CC2;1614875581817573
ABBA 1234 5700 0000 0000 0002;1614875581828631
E280 1160 6000 0207 1144 9CD2;1614875581833629
E280 1160 6000 0207 1144 9CF2;1614875581842491
5050 1FB3 A6A6 5E8B A6A6 0000;1614875581849333
E280 1160 6000 0207 1144 D822;1614875581873003
E280 1160 6000 0207 1144 9CB2;1614875581961527
E280 1160 6000 0207 1144 9CE2;1614875581964143
E280 1160 6000 0207 1144 D802;1614875581967325
E280 1160 6000 0207 1144 9CA2;1614875581977086
E280 1160 6000 0207 1144 9CD2;1614875582011257
E280 1160 6000 0207 1144 9CC2;1614875582015034
5050 1FB3 A6A6 5E8B A6A6 0000;1614875582020864
E280 1160 6000 0207 1144 9CF2;1614875582028471
E280 1160 6000 0207 1144 D822;1614875582038879
ABBA 1234 5700 0000 0000 0002;1614875582054116
E280 1160 6000 0207 1144 9CB2;1614875582115842
E280 1160 6000 0207 1144 D802;1614875582117849
E280 1160 6000 0207 1144 9CE2;1614875582119147
E280 1160 6000 0207 1144 9CC2;1614875582137352
E280 1160 6000 0207 1144 9CA2;1614875582140478
5050 1FB3 A6A6 5E8B A6A6 0000;1614875582148542
ABBA 1234 5700 0000 0000 0002;1614875582153424
E280 1160 6000 0207 1144 9CD2;1614875582156571
E280 1160 6000 0207 1144 D822;1614875582159803
E280 1160 6000 0207 1144 9CF2;1614875582173619
E280 1160 6000 0207 1144 9CA2;1614875582212035
E280 1160 6000 0207 1144 D802;1614875582291696
E280 1160 6000 0207 1144 9CB2;1614875582295504
E280 1160 6000 0207 1144 9CA2;1614875582301778
E280 1160 6000 0207 1144 9CE2;1614875582311828
E280 1160 6000 0207 1144 9CC2;1614875582340864
5050 1FB3 A6A6 5E8B A6A6 0000;1614875582354018
E280 1160 6000 0207 1144 9CD2;1614875582374057
ABBA 1234 5700 0000 0000 0002;1614875582379154
E280 1160 6000 0207 1144 9CF2;1614875582389397
E280 1160 6000 0207 1144 D822;1614875582412841
E280 1160 6000 0207 1144 9CE2;1614875582470633
E280 1160 6000 0207 1144 D802;1614875582472998
E280 1160 6000 0207 1144 9CB2;1614875582474106
E280 1160 6000 0207 1144 9CA2;1614875582481913
E280 1160 6000 0207 1144 9CC2;1614875582504763
E280 1160 6000 0207 1144 D822;1614875582512442
ABBA 1234 5700 0000 0000 0002;1614875582520650
E280 1160 6000 0207 1144 9CF2;1614875582531180
5050 1FB3 A6A6 5E8B A6A6 0000;1614875582541753
E280 1160 6000 0207 1144 9CD2;1614875582546261
E280 1160 6000 0207 1144 9CE2;1614875582654139
E280 1160 6000 0207 1144 9CB2;1614875582655642
E280 1160 6000 0207 1144 D802;1614875582656713
E280 1160 6000 0207 1144 9CD2;1614875582693912
ABBA 1234 5700 0000 0000 0002;1614875582697531
E280 1160 6000 0207 1144 9CF2;1614875582706411
